,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
751,<0 DM,36,paid open rates,others,2862,<100 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,real estate,30,none,own,1,skilled employee/official,0 to 2,no,no,good
752,No Account,9,none open,others,654,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,28,none,rent,1,unskilled - resident,0 to 2,no,no,bad
753,<0 DM,9,fully paid back,repairs,1136,500-1000 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,real estate,32,none,own,2,skilled employee/official,3 or more,no,no,bad
754,<0 DM,24,none open,car (new),4113,100-500 DM,<1 yr,20-24,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,skilled employee/official,0 to 2,no,no,bad
755,<0 DM,6,none open,others,14555,>=1000 DM,unemployed,>= 35,male : married/widowed,none,1-3 yrs,car or other,23,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes,no,bad
756,No Account,15,past delay,others,950,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,33,none,for free,2,skilled employee/official,3 or more,no,no,bad
757,No Account,24,fully paid back,others,1199,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,60,none,rent,2,unskilled - resident,0 to 2,no,no,bad
758,No Account,12,past delay,others,1082,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,48,bank,rent,2,skilled employee/official,0 to 2,no,no,bad
759,<0 DM,30,none open,others,2150,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,guarantor,1-3 yrs,real estate,24,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
760,<0 DM,36,fully paid back,others,2820,unknown/no savings account,<1 yr,<20,male : divorced/separated,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,rent,2,skilled employee/official,0 to 2,no,no,bad
761,<0 DM,48,none open,furniture/equipment,3060,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,28,none,rent,2,skilled employee/official,0 to 2,no,no,bad
762,No Account,18,none open,furniture/equipment,2600,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,65,none,own,2,skilled employee/official,0 to 2,no,no,bad
763,>=200 DM,21,past delay,others,5003,>=1000 DM,1-3 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,car or other,29,bank,rent,2,skilled employee/official,0 to 2,yes,no,bad
764,<0 DM,60,none open,repairs,6288,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,42,none,own,1,skilled employee/official,0 to 2,no,no,bad
765,>=200 DM,24,paid open rates,others,2538,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,47,none,rent,2,unskilled - resident,3 or more,no,no,bad
766,>=200 DM,9,none open,furniture/equipment,1478,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
767,<0 DM,39,fully paid back,furniture/equipment,4933,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,guarantor,1-3 yrs,unknown / no property,25,none,rent,2,skilled employee/official,0 to 2,no,no,bad
768,>=200 DM,18,fully paid back,others,1530,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,car or other,32,bank,rent,2,skilled employee/official,0 to 2,no,no,bad
769,<0 DM,9,critical/open,others,1437,<100 DM,4-6 yrs,25-34,male : married/widowed,none,4-6 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,bad
770,No Account,15,none open,radio/television,1275,>=1000 DM,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
771,No Account,24,none open,furniture/equipment,1823,unknown/no savings account,unemployed,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,30,stores,rent,1,manager/self-empl./highly qualif,3 or more,no,no,bad
772,No Account,9,none open,others,1422,unknown/no savings account,<1 yr,20-24,male : married/widowed,none,1-3 yrs,real estate,27,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
773,No Account,18,none open,radio/television,1217,unknown/no savings account,1-3 yrs,<20,female : single,none,4-6 yrs,unknown / no property,47,none,rent,1,unskilled - resident,0 to 2,yes,no,bad
774,No Account,36,none open,others,9271,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
775,No Account,36,paid open rates,retraining,2145,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,2,skilled employee/official,0 to 2,yes,no,bad
776,No Account,36,none open,others,1842,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
777,<0 DM,18,paid open rates,car (used),4297,unknown/no savings account,>= 7 yrs,<20,male : divorced/separated,none,4-6 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
778,No Account,6,fully paid back,car (used),3384,unknown/no savings account,1-3 yrs,>= 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,44,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
779,<0 DM,18,fully paid back,furniture/equipment,1245,unknown/no savings account,1-3 yrs,<20,female : single,none,1-3 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
780,>=200 DM,15,none open,repairs,4623,<100 DM,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,car or other,40,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
781,<0 DM,30,fully paid back,car (used),8386,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,49,none,rent,1,skilled employee/official,0 to 2,no,no,bad
782,No Account,24,paid open rates,furniture/equipment,1024,unknown/no savings account,<1 yr,<20,female : single,none,>= 7 yrs,unknown / no property,48,stores,rent,1,skilled employee/official,0 to 2,no,no,bad
783,<0 DM,36,none open,others,14318,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,real estate,57,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
784,<0 DM,6,critical/open,repairs,433,500-1000 DM,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,car or other,24,bank,for free,1,skilled employee/official,3 or more,no,no,bad
785,No Account,12,critical/open,furniture/equipment,2149,unknown/no savings account,1-3 yrs,<20,male : divorced/separated,none,< 1 yr,real estate,29,none,own,1,skilled employee/official,0 to 2,no,no,bad
786,>=200 DM,24,none open,furniture/equipment,2397,100-500 DM,>= 7 yrs,20-24,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,35,bank,rent,2,skilled employee/official,0 to 2,yes,no,bad
787,<0 DM,6,critical/open,others,931,<100 DM,<1 yr,>= 35,female: non-single or male: single,none,< 1 yr,car or other,32,stores,rent,1,unskilled - resident,0 to 2,no,no,bad
788,<0 DM,15,paid open rates,domestic appliances,1512,500-1000 DM,1-3 yrs,20-24,female : single,none,4-6 yrs,car or other,61,stores,rent,2,skilled employee/official,0 to 2,no,no,bad
789,<0 DM,24,past delay,retraining,4241,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,3,unskilled - resident,0 to 2,yes,no,bad
790,<0 DM,24,fully paid back,car (used),4736,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,25,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
791,<0 DM,15,past delay,others,1778,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,none,< 1 yr,unknown / no property,26,none,for free,2,unemployed/unskilled - non-resident,0 to 2,no,no,bad
792,0-200 DM,15,none open,furniture/equipment,2327,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,none,4-6 yrs,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,no,bad
793,No Account,24,critical/open,car (used),6872,unknown/no savings account,<1 yr,25-34,male : divorced/separated,none,< 1 yr,car or other,55,bank,rent,1,skilled employee/official,0 to 2,yes,no,bad
794,No Account,12,none open,repairs,795,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,bad
795,0-200 DM,30,paid open rates,retraining,1908,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,66,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
796,<0 DM,36,past delay,retraining,1953,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,61,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
797,0-200 DM,18,none open,car (used),2864,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,< 1 yr,unknown / no property,34,none,rent,1,unskilled - resident,3 or more,no,no,bad
798,0-200 DM,21,fully paid back,repairs,2319,unknown/no savings account,<1 yr,25-34,male : divorced/separated,none,< 1 yr,building soc. savings agr./life insurance,33,none,for free,1,skilled employee/official,0 to 2,no,no,bad
799,No Account,24,none open,others,915,>=1000 DM,>= 7 yrs,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
800,0-200 DM,24,none open,others,947,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,real estate,38,bank,own,1,skilled employee/official,3 or more,no,no,bad
801,No Account,24,none open,others,1381,>=1000 DM,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,car or other,35,none,rent,1,skilled employee/official,0 to 2,no,no,bad
802,No Account,24,none open,others,1285,>=1000 DM,4-6 yrs,<20,female: non-single or male: single,none,>= 7 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,no,no,bad
803,No Account,24,none open,others,1371,>=1000 DM,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
804,<0 DM,18,none open,others,1042,>=1000 DM,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
805,No Account,12,none open,others,900,>=1000 DM,1-3 yrs,<20,female : single,none,1-3 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad
806,No Account,24,none open,others,1207,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
807,<0 DM,18,past delay,others,2278,<100 DM,<1 yr,20-24,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,28,none,rent,2,skilled employee/official,0 to 2,no,no,bad
808,No Account,60,paid open rates,retraining,6836,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,real estate,63,none,rent,2,skilled employee/official,0 to 2,yes,no,bad
809,No Account,24,none open,car (used),3345,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,39,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
810,No Account,6,critical/open,repairs,1198,unknown/no savings account,>= 7 yrs,<20,female: non-single or male: single,none,>= 7 yrs,real estate,35,none,own,1,skilled employee/official,0 to 2,no,no,bad
811,<0 DM,48,none open,retraining,15672,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
812,No Account,60,none open,retraining,7297,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,co-applicant,>= 7 yrs,real estate,36,none,for free,1,skilled employee/official,0 to 2,no,no,bad
813,>=200 DM,18,none open,domestic appliances,1943,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad
814,No Account,18,none open,furniture/equipment,3190,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
815,<0 DM,9,critical/open,car (new),5129,unknown/no savings account,>= 7 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,real estate,74,bank,own,1,manager/self-empl./highly qualif,3 or more,yes,no,bad
816,>=200 DM,18,paid open rates,car (used),1808,unknown/no savings account,4-6 yrs,<20,female: non-single or male: single,none,< 1 yr,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
817,0-200 DM,10,none open,others,1240,<100 DM,>= 7 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,real estate,48,none,own,1,unskilled - resident,3 or more,no,no,bad
818,No Account,12,none open,others,759,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
819,<0 DM,8,none open,car (used),1237,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,none,>= 7 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
820,>=200 DM,9,none open,car (used),1980,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,co-applicant,1-3 yrs,building soc. savings agr./life insurance,19,none,for free,2,skilled employee/official,0 to 2,no,no,bad
821,<0 DM,48,none open,furniture/equipment,10961,500-1000 DM,4-6 yrs,>= 35,male : married/widowed,co-applicant,1-3 yrs,real estate,27,bank,rent,2,skilled employee/official,0 to 2,yes,no,bad
822,No Account,36,paid open rates,repairs,6887,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,4-6 yrs,car or other,29,stores,rent,1,skilled employee/official,0 to 2,yes,no,bad
823,No Account,24,none open,furniture/equipment,1938,unknown/no savings account,<1 yr,<20,male : divorced/separated,none,4-6 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad
824,No Account,21,none open,furniture/equipment,1835,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,none,1-3 yrs,unknown / no property,25,none,rent,2,skilled employee/official,0 to 2,yes,no,bad
825,No Account,24,paid open rates,furniture/equipment,1659,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,yes,no,bad
826,<0 DM,6,paid open rates,others,1209,unknown/no savings account,unemployed,<20,male : married/widowed,none,>= 7 yrs,car or other,47,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
827,<0 DM,48,past delay,retraining,3844,<100 DM,4-6 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,34,none,own,1,unskilled - resident,3 or more,no,no,bad
828,No Account,12,fully paid back,others,4843,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,co-applicant,>= 7 yrs,car or other,43,none,for free,2,skilled employee/official,0 to 2,yes,no,bad
829,<0 DM,12,none open,domestic appliances,639,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,bad
830,<0 DM,48,none open,furniture/equipment,5951,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
831,<0 DM,36,past delay,furniture/equipment,3804,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
832,>=200 DM,36,paid open rates,furniture/equipment,4463,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,26,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,bad
833,>=200 DM,36,paid open rates,retraining,7980,>=1000 DM,<1 yr,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,for free,2,skilled employee/official,0 to 2,yes,no,bad
834,0-200 DM,36,none open,furniture/equipment,4210,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
835,>=200 DM,6,none open,car (used),4611,unknown/no savings account,<1 yr,>= 35,female: non-single or male: single,none,>= 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad
836,<0 DM,24,none open,car (new),11560,unknown/no savings account,1-3 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2,manager/self-empl./highly qualif,0 to 2,no,no,bad
837,>=200 DM,18,past delay,retraining,4165,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,36,stores,rent,2,skilled employee/official,3 or more,no,no,bad
838,<0 DM,24,none open,car (used),4057,unknown/no savings account,4-6 yrs,20-24,male : divorced/separated,none,4-6 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
839,>=200 DM,18,critical/open,others,6458,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,real estate,39,bank,rent,2,manager/self-empl./highly qualif,3 or more,yes,no,bad
840,>=200 DM,12,none open,others,1386,100-500 DM,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
841,No Account,36,none open,repairs,1977,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
842,<0 DM,18,fully paid back,car (used),1928,unknown/no savings account,<1 yr,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,31,none,rent,2,unskilled - resident,0 to 2,no,no,bad
843,>=200 DM,12,none open,car (used),1123,100-500 DM,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,no,no,bad
844,<0 DM,24,none open,business,11328,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,co-applicant,4-6 yrs,building soc. savings agr./life insurance,29,bank,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,bad
845,<0 DM,24,fully paid back,business,11938,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,co-applicant,4-6 yrs,building soc. savings agr./life insurance,39,none,rent,2,manager/self-empl./highly qualif,3 or more,yes,no,bad
846,<0 DM,27,fully paid back,furniture/equipment,2520,100-500 DM,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,23,none,rent,2,unskilled - resident,0 to 2,no,no,bad
847,<0 DM,30,paid open rates,furniture/equipment,1919,<100 DM,<1 yr,<20,male : married/widowed,none,4-6 yrs,real estate,30,stores,rent,2,manager/self-empl./highly qualif,0 to 2,no,no,bad
848,<0 DM,60,critical/open,business,14782,<100 DM,>= 7 yrs,20-24,female: non-single or male: single,none,>= 7 yrs,real estate,60,bank,own,2,manager/self-empl./highly qualif,0 to 2,yes,no,bad
849,<0 DM,36,none open,furniture/equipment,2671,<100 DM,1-3 yrs,<20,female: non-single or male: single,co-applicant,>= 7 yrs,real estate,50,none,own,1,skilled employee/official,0 to 2,no,no,bad
850,<0 DM,36,none open,repairs,12612,<100 DM,1-3 yrs,>= 35,male : married/widowed,none,>= 7 yrs,real estate,47,none,own,1,skilled employee/official,3 or more,yes,no,bad
851,<0 DM,45,none open,furniture/equipment,3031,<100 DM,1-3 yrs,<20,male : married/widowed,guarantor,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad
852,No Account,12,critical/open,furniture/equipment,626,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,24,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
853,<0 DM,24,fully paid back,retraining,1935,unknown/no savings account,>= 7 yrs,<20,male : divorced/separated,none,>= 7 yrs,unknown / no property,31,none,rent,2,skilled employee/official,0 to 2,yes,no,bad
854,0-200 DM,24,fully paid back,others,1344,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,unknown / no property,37,bank,rent,2,unskilled - resident,3 or more,no,no,bad
855,>=200 DM,18,none open,car (used),1533,unknown/no savings account,<1 yr,<20,female : single,co-applicant,< 1 yr,car or other,43,none,rent,1,unskilled - resident,3 or more,no,no,bad
856,No Account,48,none open,others,3931,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,46,none,own,1,skilled employee/official,3 or more,no,no,bad
857,No Account,24,critical/open,car (used),3349,100-500 DM,<1 yr,<20,male : married/widowed,none,>= 7 yrs,real estate,30,none,own,1,skilled employee/official,3 or more,yes,no,bad
858,No Account,36,none open,furniture/equipment,2302,unknown/no savings account,1-3 yrs,<20,male : divorced/separated,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,for free,1,skilled employee/official,0 to 2,no,no,bad
859,No Account,42,none open,furniture/equipment,3965,unknown/no savings account,<1 yr,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,no,bad
860,No Account,12,none open,furniture/equipment,727,<100 DM,<1 yr,<20,female : single,none,4-6 yrs,real estate,33,none,rent,1,unskilled - resident,0 to 2,yes,no,bad
861,>=200 DM,48,none open,retraining,3914,>=1000 DM,1-3 yrs,<20,male : divorced/separated,none,1-3 yrs,unknown / no property,38,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
862,No Account,48,none open,retraining,4308,unknown/no savings account,<1 yr,20-24,female: non-single or male: single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
863,<0 DM,12,none open,furniture/equipment,1534,unknown/no savings account,<1 yr,>= 35,female : single,none,< 1 yr,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,bad
864,>=200 DM,18,fully paid back,others,2775,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,31,bank,rent,2,skilled employee/official,0 to 2,no,no,bad
865,No Account,40,fully paid back,repairs,5998,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,4-6 yrs,real estate,27,bank,rent,1,skilled employee/official,0 to 2,yes,no,bad
866,0-200 DM,15,fully paid back,furniture/equipment,1271,>=1000 DM,1-3 yrs,20-24,male : married/widowed,none,>= 7 yrs,real estate,39,none,own,2,skilled employee/official,0 to 2,yes,no,bad
867,<0 DM,12,none open,others,1295,unknown/no savings account,<1 yr,20-24,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
868,<0 DM,36,none open,car (new),9398,unknown/no savings account,<1 yr,>= 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
869,<0 DM,12,none open,car (used),951,<100 DM,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,27,bank,for free,4,skilled employee/official,0 to 2,no,no,bad
870,<0 DM,24,none open,others,1355,unknown/no savings account,<1 yr,20-24,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,25,none,rent,1,unskilled - resident,0 to 2,yes,no,bad
871,No Account,48,none open,radio/television,3051,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,54,none,rent,1,skilled employee/official,0 to 2,no,no,bad
872,>=200 DM,36,fully paid back,others,7855,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,unknown / no property,25,stores,rent,2,skilled employee/official,0 to 2,yes,no,bad
873,>=200 DM,18,none open,furniture/equipment,433,unknown/no savings account,unemployed,20-24,female: non-single or male: single,co-applicant,>= 7 yrs,unknown / no property,22,none,for free,1,skilled employee/official,0 to 2,no,no,bad
874,>=200 DM,36,paid open rates,retraining,9572,unknown/no savings account,<1 yr,>= 35,male : divorced/separated,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,2,skilled employee/official,0 to 2,no,no,bad
875,<0 DM,24,critical/open,repairs,1837,unknown/no savings account,4-6 yrs,<20,female: non-single or male: single,none,>= 7 yrs,real estate,34,bank,own,1,unskilled - resident,0 to 2,no,no,bad
876,<0 DM,30,fully paid back,others,4249,unknown/no savings account,unemployed,<20,female : single,none,1-3 yrs,building soc. savings agr./life insurance,28,none,rent,2,manager/self-empl./highly qualif,0 to 2,no,no,bad
877,<0 DM,30,fully paid back,others,5234,unknown/no savings account,unemployed,<20,female : single,none,1-3 yrs,building soc. savings agr./life insurance,28,none,rent,2,manager/self-empl./highly qualif,0 to 2,no,no,bad
878,No Account,48,none open,furniture/equipment,6758,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
879,No Account,9,none open,furniture/equipment,1366,unknown/no savings account,<1 yr,20-24,female: non-single or male: single,none,>= 7 yrs,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,bad
880,No Account,24,critical/open,business,1358,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,40,stores,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
881,No Account,18,none open,car (used),2473,unknown/no savings account,unemployed,<20,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,25,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,bad
882,0-200 DM,9,past delay,furniture/equipment,1337,unknown/no savings account,<1 yr,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,34,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,bad
883,No Account,48,none open,others,7763,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,42,bank,own,1,manager/self-empl./highly qualif,0 to 2,no,no,bad
884,<0 DM,15,critical/open,others,1264,<100 DM,1-3 yrs,25-34,female : single,none,1-3 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
885,<0 DM,15,none open,others,2631,<100 DM,1-3 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,2,skilled employee/official,0 to 2,yes,no,bad
886,<0 DM,48,none open,others,6560,<100 DM,4-6 yrs,20-24,male : married/widowed,none,1-3 yrs,car or other,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
887,No Account,24,none open,others,3123,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,< 1 yr,car or other,27,none,rent,1,skilled employee/official,0 to 2,no,no,bad
888,No Account,36,fully paid back,repairs,8065,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,none,1-3 yrs,real estate,25,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,bad
889,No Account,24,none open,furniture/equipment,2439,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
890,<0 DM,36,none open,car (used),9034,<100 DM,<1 yr,<20,male : married/widowed,co-applicant,< 1 yr,real estate,29,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
